Match Date,Player 1,Player 2,Player 1 Ranking,Player 2 Ranking,Player 1 Form,Player 2 Form,Head-to-Head Record,Surface,Weather,Match Outcome
2022-07-11,Alexander Zverev,Carlos Alcaraz,17,18,0.53,0.49,5-4,Grass,Sunny,Alexander Zverev
2022-06-25,Stefanos Tsitsipas,Taylor Fritz,5,20,0.69,0.45,3-1,Grass,Cloudy,Stefanos Tsitsipas
2022-07-11,Hubert Hurkacz,Taylor Fritz,6,15,0.63,0.48,0-3,Grass,Rainy,Taylor Fritz
2022-06-27,Hubert Hurkacz,Jannik Sinner,15,20,0.8,0.55,2-5,Grass,Windy,Jannik Sinner
2022-07-04,Andrey Rublev,Jannik Sinner,10,16,0.58,0.61,1-2,Grass,Windy,Jannik Sinner
2022-07-15,Alexander Zverev,Casper Ruud,17,17,0.57,0.56,3-1,Grass,Cloudy,Alexander Zverev
2022-07-07,Taylor Fritz,Daniil Medvedev,9,2,0.72,0.81,5-3,Grass,Rainy,Daniil Medvedev
2022-07-04,Carlos Alcaraz,Andrey Rublev,4,10,0.66,0.59,0-1,Grass,Rainy,Carlos Alcaraz
2022-07-19,Andrey Rublev,Daniil Medvedev,14,3,0.58,0.49,1-3,Grass,Rainy,Daniil Medvedev
2022-07-02,Novak Djokovic,Casper Ruud,2,13,0.58,0.76,4-2,Grass,Cloudy,Novak Djokovic
2022-07-15,Carlos Alcaraz,Stefanos Tsitsipas,8,1,0.83,0.72,2-0,Grass,Rainy,Stefanos Tsitsipas
2022-07-14,Daniil Medvedev,Hubert Hurkacz,2,10,0.79,0.68,3-5,Grass,Cloudy,Daniil Medvedev
2022-06-28,Hubert Hurkacz,Holger Rune,15,20,0.91,0.66,0-0,Grass,Sunny,Hubert Hurkacz
2022-07-14,Jannik Sinner,Daniil Medvedev,18,20,0.56,0.45,4-3,Grass,Sunny,Jannik Sinner
2022-07-10,Alexander Zverev,Jannik Sinner,10,4,0.49,0.73,0-1,Grass,Windy,Jannik Sinner
2022-07-10,Taylor Fritz,Holger Rune,3,4,0.64,0.57,3-4,Grass,Sunny,Holger Rune
2022-07-09,Andrey Rublev,Taylor Fritz,8,5,0.61,0.59,2-3,Grass,Sunny,Taylor Fritz
2022-07-06,Stefanos Tsitsipas,Jannik Sinner,19,14,0.73,0.7,1-5,Grass,Sunny,Jannik Sinner
2022-07-02,Stefanos Tsitsipas,Carlos Alcaraz,17,18,0.58,0.72,4-4,Grass,Sunny,Carlos Alcaraz
2022-07-01,Holger Rune,Novak Djokovic,13,12,0.63,0.54,2-5,Grass,Sunny,Novak Djokovic
2022-06-24,Carlos Alcaraz,Stefanos Tsitsipas,8,4,0.82,0.76,4-5,Grass,Rainy,Stefanos Tsitsipas
2022-07-12,Novak Djokovic,Stefanos Tsitsipas,18,11,0.47,0.62,5-1,Grass,Windy,Novak Djokovic
2022-06-21,Holger Rune,Frances Tiafoe,6,5,0.6,0.56,0-5,Grass,Windy,Frances Tiafoe
2022-07-06,Alexander Zverev,Jannik Sinner,2,7,0.82,0.87,0-2,Grass,Rainy,Jannik Sinner
2022-06-29,Casper Ruud,Andrey Rublev,16,9,0.45,0.72,0-5,Grass,Cloudy,Andrey Rublev
2022-07-18,Stefanos Tsitsipas,Novak Djokovic,11,9,0.57,0.61,0-2,Grass,Windy,Novak Djokovic
2022-07-01,Casper Ruud,Holger Rune,13,11,0.56,0.55,1-3,Grass,Windy,Holger Rune
2022-07-07,Andrey Rublev,Alexander Zverev,3,14,0.72,0.53,0-3,Grass,Cloudy,Alexander Zverev
2022-06-29,Alexander Zverev,Stefanos Tsitsipas,4,3,0.74,0.71,2-5,Grass,Rainy,Stefanos Tsitsipas
2022-07-04,Holger Rune,Taylor Fritz,14,6,0.59,0.6,5-3,Grass,Rainy,Holger Rune
2022-06-22,Novak Djokovic,Stefanos Tsitsipas,20,14,0.49,0.69,2-5,Grass,Sunny,Stefanos Tsitsipas
2022-07-20,Frances Tiafoe,Hubert Hurkacz,13,12,0.67,0.53,4-5,Grass,Cloudy,Hubert Hurkacz
2022-06-27,Novak Djokovic,Daniil Medvedev,20,15,0.56,0.68,0-1,Grass,Sunny,Daniil Medvedev
2022-07-11,Frances Tiafoe,Stefanos Tsitsipas,12,13,0.46,0.67,4-0,Grass,Cloudy,Frances Tiafoe
2022-07-06,Holger Rune,Stefanos Tsitsipas,12,15,0.56,0.66,0-4,Grass,Cloudy,Stefanos Tsitsipas
2022-07-13,Stefanos Tsitsipas,Casper Ruud,11,9,0.56,0.48,1-0,Grass,Sunny,Stefanos Tsitsipas
2022-07-14,Daniil Medvedev,Holger Rune,17,13,0.42,0.62,4-0,Grass,Rainy,Daniil Medvedev
2022-06-26,Alexander Zverev,Holger Rune,7,20,0.71,0.46,2-5,Grass,Windy,Holger Rune
2022-06-22,Carlos Alcaraz,Daniil Medvedev,3,15,0.78,0.43,1-5,Grass,Windy,Daniil Medvedev
2022-07-18,Frances Tiafoe,Stefanos Tsitsipas,12,3,0.62,0.6,4-4,Grass,Rainy,Stefanos Tsitsipas
2022-06-26,Alexander Zverev,Daniil Medvedev,6,12,0.62,0.63,4-1,Grass,Sunny,Alexander Zverev
2022-07-04,Daniil Medvedev,Jannik Sinner,16,1,0.5,0.7,2-4,Grass,Rainy,Jannik Sinner
2022-07-12,Andrey Rublev,Daniil Medvedev,20,3,0.65,0.66,0-2,Grass,Windy,Daniil Medvedev
2022-06-24,Hubert Hurkacz,Holger Rune,17,14,0.66,0.5,3-4,Grass,Sunny,Holger Rune
2022-06-24,Stefanos Tsitsipas,Frances Tiafoe,3,15,0.77,0.74,3-5,Grass,Rainy,Frances Tiafoe
2022-07-16,Andrey Rublev,Frances Tiafoe,19,6,0.31,0.61,1-3,Grass,Sunny,Frances Tiafoe
2022-07-19,Carlos Alcaraz,Andrey Rublev,5,10,0.76,0.63,1-1,Grass,Rainy,Carlos Alcaraz
2022-06-26,Hubert Hurkacz,Jannik Sinner,12,17,0.67,0.52,2-0,Grass,Rainy,Hubert Hurkacz
2022-07-06,Frances Tiafoe,Andrey Rublev,9,5,0.67,0.68,5-2,Grass,Sunny,Frances Tiafoe
2022-07-16,Frances Tiafoe,Daniil Medvedev,19,19,0.68,0.59,1-1,Grass,Rainy,Frances Tiafoe
2022-07-10,Taylor Fritz,Novak Djokovic,1,3,0.77,0.68,0-5,Grass,Rainy,Novak Djokovic
2022-07-18,Jannik Sinner,Taylor Fritz,14,20,0.56,0.51,5-0,Grass,Windy,Jannik Sinner
2022-06-29,Frances Tiafoe,Andrey Rublev,10,10,0.69,0.61,3-1,Grass,Windy,Frances Tiafoe
2022-07-04,Holger Rune,Carlos Alcaraz,2,6,0.76,0.9,3-3,Grass,Windy,Holger Rune
2022-07-13,Jannik Sinner,Stefanos Tsitsipas,20,5,0.64,0.67,2-5,Grass,Rainy,Stefanos Tsitsipas
2022-06-30,Stefanos Tsitsipas,Casper Ruud,5,12,0.82,0.59,4-4,Grass,Sunny,Stefanos Tsitsipas
2022-06-23,Jannik Sinner,Holger Rune,4,9,0.51,0.56,3-1,Grass,Cloudy,Jannik Sinner
2022-07-16,Novak Djokovic,Alexander Zverev,13,20,0.43,0.51,3-1,Grass,Cloudy,Novak Djokovic
2022-07-05,Stefanos Tsitsipas,Taylor Fritz,11,7,0.64,0.85,1-3,Grass,Windy,Taylor Fritz
2022-07-20,Alexander Zverev,Holger Rune,1,3,0.77,0.7,3-4,Grass,Windy,Alexander Zverev
2022-07-05,Jannik Sinner,Hubert Hurkacz,19,12,0.64,0.41,0-0,Grass,Rainy,Jannik Sinner
2022-07-03,Taylor Fritz,Frances Tiafoe,16,10,0.61,0.73,4-0,Grass,Sunny,Taylor Fritz
2022-06-21,Daniil Medvedev,Alexander Zverev,12,13,0.48,0.73,2-0,Grass,Windy,Daniil Medvedev
2022-07-02,Taylor Fritz,Andrey Rublev,7,12,0.71,0.59,4-2,Grass,Sunny,Taylor Fritz
2022-06-24,Andrey Rublev,Holger Rune,18,9,0.63,0.89,4-5,Grass,Sunny,Holger Rune
2022-06-26,Carlos Alcaraz,Casper Ruud,12,11,0.65,0.66,4-2,Grass,Cloudy,Carlos Alcaraz
2022-06-24,Taylor Fritz,Andrey Rublev,13,17,0.57,0.5,0-0,Grass,Sunny,Taylor Fritz
2022-06-30,Hubert Hurkacz,Stefanos Tsitsipas,16,17,0.67,0.49,3-1,Grass,Cloudy,Hubert Hurkacz
2022-07-08,Taylor Fritz,Stefanos Tsitsipas,6,13,0.7,0.57,4-5,Grass,Rainy,Taylor Fritz
2022-07-05,Stefanos Tsitsipas,Andrey Rublev,17,18,0.63,0.6,3-5,Grass,Rainy,Andrey Rublev
2022-07-15,Novak Djokovic,Stefanos Tsitsipas,11,4,0.74,0.66,3-4,Grass,Rainy,Stefanos Tsitsipas
2022-07-13,Hubert Hurkacz,Frances Tiafoe,1,20,0.71,0.45,3-2,Grass,Cloudy,Hubert Hurkacz
2022-06-24,Novak Djokovic,Taylor Fritz,16,6,0.55,0.73,4-5,Grass,Windy,Taylor Fritz
2022-06-20,Frances Tiafoe,Jannik Sinner,2,19,0.81,0.47,5-0,Grass,Cloudy,Frances Tiafoe
2022-07-03,Holger Rune,Stefanos Tsitsipas,14,5,0.7,0.84,3-5,Grass,Cloudy,Stefanos Tsitsipas
2022-07-07,Andrey Rublev,Taylor Fritz,16,2,0.63,0.92,5-1,Grass,Cloudy,Andrey Rublev
2022-07-04,Stefanos Tsitsipas,Frances Tiafoe,16,17,0.51,0.46,3-2,Grass,Cloudy,Stefanos Tsitsipas
2022-07-09,Andrey Rublev,Stefanos Tsitsipas,18,12,0.39,0.78,5-5,Grass,Rainy,Stefanos Tsitsipas
2022-07-20,Holger Rune,Jannik Sinner,8,9,0.74,0.65,4-2,Grass,Cloudy,Holger Rune
2022-07-07,Alexander Zverev,Hubert Hurkacz,7,16,0.71,0.48,2-3,Grass,Rainy,Alexander Zverev
2022-07-18,Hubert Hurkacz,Alexander Zverev,10,4,0.89,0.72,4-5,Grass,Windy,Alexander Zverev
2022-07-01,Casper Ruud,Stefanos Tsitsipas,5,10,0.71,0.72,0-2,Grass,Sunny,Stefanos Tsitsipas
2022-07-19,Holger Rune,Frances Tiafoe,9,16,0.71,0.61,1-1,Grass,Rainy,Holger Rune
2022-06-27,Andrey Rublev,Alexander Zverev,5,4,0.62,0.76,4-5,Grass,Cloudy,Alexander Zverev
2022-06-23,Novak Djokovic,Frances Tiafoe,17,8,0.77,0.8,5-1,Grass,Sunny,Novak Djokovic
2022-07-20,Casper Ruud,Stefanos Tsitsipas,16,4,0.75,0.66,5-1,Grass,Sunny,Casper Ruud
2022-07-14,Andrey Rublev,Daniil Medvedev,14,16,0.51,0.58,3-5,Grass,Cloudy,Daniil Medvedev
2022-07-07,Alexander Zverev,Stefanos Tsitsipas,10,2,0.66,0.84,0-5,Grass,Cloudy,Stefanos Tsitsipas
2022-07-15,Hubert Hurkacz,Novak Djokovic,6,14,0.52,0.76,1-0,Grass,Windy,Novak Djokovic
2022-07-19,Holger Rune,Daniil Medvedev,10,2,0.63,0.69,0-2,Grass,Sunny,Daniil Medvedev
2022-07-17,Stefanos Tsitsipas,Alexander Zverev,15,18,0.5,0.4,4-3,Grass,Cloudy,Stefanos Tsitsipas
2022-07-13,Andrey Rublev,Holger Rune,9,7,0.74,0.69,0-2,Grass,Cloudy,Holger Rune
2022-07-15,Holger Rune,Frances Tiafoe,9,6,0.53,0.56,0-5,Grass,Rainy,Frances Tiafoe
2022-07-16,Alexander Zverev,Taylor Fritz,7,6,0.65,0.86,4-5,Grass,Windy,Taylor Fritz
2022-06-25,Casper Ruud,Andrey Rublev,11,3,0.61,0.57,3-5,Grass,Sunny,Andrey Rublev
2022-06-27,Daniil Medvedev,Holger Rune,11,8,0.62,0.64,0-2,Grass,Windy,Holger Rune
2022-06-28,Holger Rune,Alexander Zverev,11,10,0.37,0.64,4-5,Grass,Sunny,Alexander Zverev
2022-06-29,Frances Tiafoe,Stefanos Tsitsipas,8,2,0.65,0.8,5-0,Grass,Windy,Frances Tiafoe
2022-07-01,Daniil Medvedev,Casper Ruud,17,10,0.76,0.76,5-0,Grass,Rainy,Daniil Medvedev
2022-07-13,Taylor Fritz,Jannik Sinner,8,5,0.64,0.59,3-1,Grass,Windy,Taylor Fritz
2022-07-14,Taylor Fritz,Stefanos Tsitsipas,14,18,0.87,0.58,3-4,Grass,Cloudy,Taylor Fritz
2022-06-22,Jannik Sinner,Frances Tiafoe,20,3,0.55,0.72,4-3,Grass,Rainy,Frances Tiafoe
2022-06-25,Taylor Fritz,Carlos Alcaraz,2,18,0.75,0.56,4-1,Grass,Cloudy,Taylor Fritz
2022-06-22,Stefanos Tsitsipas,Andrey Rublev,15,4,0.54,0.66,5-1,Grass,Windy,Stefanos Tsitsipas
2022-07-04,Andrey Rublev,Holger Rune,2,15,0.73,0.55,1-4,Grass,Windy,Holger Rune
2022-07-02,Taylor Fritz,Novak Djokovic,18,15,0.5,0.61,5-2,Grass,Sunny,Taylor Fritz
2022-07-01,Alexander Zverev,Novak Djokovic,7,19,0.65,0.71,0-0,Grass,Windy,Alexander Zverev
2022-06-29,Hubert Hurkacz,Carlos Alcaraz,18,2,0.3,0.84,0-3,Grass,Sunny,Carlos Alcaraz
2022-07-17,Casper Ruud,Daniil Medvedev,5,14,0.82,0.4,2-3,Grass,Windy,Casper Ruud
2022-06-23,Casper Ruud,Hubert Hurkacz,3,18,0.69,0.53,1-5,Grass,Rainy,Hubert Hurkacz
2022-07-16,Daniil Medvedev,Andrey Rublev,13,17,0.48,0.5,1-5,Grass,Cloudy,Andrey Rublev
2022-07-07,Novak Djokovic,Hubert Hurkacz,10,15,0.54,0.78,5-5,Grass,Windy,Hubert Hurkacz
2022-06-26,Casper Ruud,Jannik Sinner,8,15,0.76,0.73,2-1,Grass,Rainy,Casper Ruud
2022-06-26,Hubert Hurkacz,Carlos Alcaraz,2,14,0.8,0.5,4-0,Grass,Cloudy,Hubert Hurkacz
2022-06-27,Carlos Alcaraz,Hubert Hurkacz,20,2,0.5,0.78,3-4,Grass,Sunny,Hubert Hurkacz
2022-07-14,Hubert Hurkacz,Novak Djokovic,13,15,0.5,0.67,1-4,Grass,Cloudy,Novak Djokovic
2022-07-08,Novak Djokovic,Daniil Medvedev,17,10,0.56,0.61,1-5,Grass,Rainy,Daniil Medvedev
2022-07-03,Taylor Fritz,Frances Tiafoe,11,8,0.71,0.71,2-1,Grass,Cloudy,Taylor Fritz
2022-07-10,Alexander Zverev,Hubert Hurkacz,2,18,0.69,0.69,4-5,Grass,Cloudy,Alexander Zverev
2022-07-15,Frances Tiafoe,Casper Ruud,18,16,0.46,0.65,0-2,Grass,Windy,Casper Ruud
2022-06-25,Andrey Rublev,Stefanos Tsitsipas,14,14,0.67,0.58,1-2,Grass,Windy,Stefanos Tsitsipas
2022-07-15,Andrey Rublev,Holger Rune,8,8,0.7,0.54,2-5,Grass,Cloudy,Holger Rune
2022-07-02,Holger Rune,Novak Djokovic,18,14,0.66,0.59,3-4,Grass,Cloudy,Novak Djokovic
2022-07-17,Jannik Sinner,Alexander Zverev,7,11,0.63,0.74,5-0,Grass,Windy,Jannik Sinner
2022-07-11,Stefanos Tsitsipas,Carlos Alcaraz,18,7,0.5,0.54,0-2,Grass,Windy,Carlos Alcaraz
2022-07-05,Taylor Fritz,Hubert Hurkacz,2,3,0.57,0.78,1-4,Grass,Cloudy,Hubert Hurkacz
2022-07-13,Jannik Sinner,Stefanos Tsitsipas,10,1,0.52,0.92,1-1,Grass,Sunny,Stefanos Tsitsipas
2022-07-14,Holger Rune,Jannik Sinner,20,7,0.34,0.85,3-1,Grass,Rainy,Jannik Sinner
2022-06-28,Alexander Zverev,Casper Ruud,15,18,0.62,0.56,5-2,Grass,Rainy,Alexander Zverev
2022-07-14,Stefanos Tsitsipas,Andrey Rublev,16,15,0.54,0.64,0-5,Grass,Windy,Andrey Rublev
2022-07-13,Stefanos Tsitsipas,Jannik Sinner,12,11,0.63,0.75,3-0,Grass,Cloudy,Stefanos Tsitsipas
2022-06-29,Daniil Medvedev,Novak Djokovic,9,18,0.67,0.59,4-4,Grass,Windy,Daniil Medvedev
2022-07-05,Daniil Medvedev,Jannik Sinner,11,8,0.6,0.66,3-4,Grass,Cloudy,Jannik Sinner
2022-07-04,Andrey Rublev,Frances Tiafoe,11,9,0.67,0.49,3-5,Grass,Windy,Frances Tiafoe
2022-06-25,Daniil Medvedev,Stefanos Tsitsipas,6,5,0.56,0.77,5-4,Grass,Windy,Stefanos Tsitsipas
2022-07-14,Andrey Rublev,Frances Tiafoe,2,17,0.75,0.56,0-0,Grass,Sunny,Andrey Rublev
2022-06-20,Novak Djokovic,Casper Ruud,5,8,0.7,0.7,0-5,Grass,Cloudy,Casper Ruud
2022-07-11,Jannik Sinner,Andrey Rublev,15,12,0.55,0.55,0-4,Grass,Windy,Andrey Rublev
2022-06-20,Holger Rune,Novak Djokovic,1,18,0.76,0.47,4-3,Grass,Sunny,Holger Rune
2022-07-15,Andrey Rublev,Alexander Zverev,18,10,0.61,0.48,0-4,Grass,Windy,Alexander Zverev
2022-07-09,Daniil Medvedev,Carlos Alcaraz,4,17,0.81,0.63,1-1,Grass,Cloudy,Daniil Medvedev
2022-07-20,Andrey Rublev,Alexander Zverev,12,9,0.66,0.76,3-0,Grass,Rainy,Andrey Rublev
2022-07-11,Casper Ruud,Holger Rune,19,8,0.73,0.77,5-1,Grass,Rainy,Casper Ruud
2022-07-07,Carlos Alcaraz,Frances Tiafoe,2,3,0.55,0.59,3-3,Grass,Windy,Carlos Alcaraz
2022-07-10,Holger Rune,Novak Djokovic,1,6,0.68,0.69,0-3,Grass,Windy,Holger Rune
2022-07-18,Stefanos Tsitsipas,Taylor Fritz,4,17,0.76,0.51,0-1,Grass,Cloudy,Stefanos Tsitsipas
2022-07-18,Hubert Hurkacz,Taylor Fritz,16,9,0.61,0.58,0-0,Grass,Rainy,Taylor Fritz
2022-07-08,Andrey Rublev,Taylor Fritz,2,6,0.67,0.55,2-0,Grass,Cloudy,Andrey Rublev
2022-07-08,Daniil Medvedev,Casper Ruud,3,10,0.63,0.51,1-4,Grass,Cloudy,Casper Ruud
2022-07-15,Casper Ruud,Frances Tiafoe,18,11,0.47,0.75,3-5,Grass,Cloudy,Frances Tiafoe
2022-06-27,Hubert Hurkacz,Carlos Alcaraz,17,12,0.49,0.89,0-0,Grass,Windy,Carlos Alcaraz
2022-06-20,Carlos Alcaraz,Stefanos Tsitsipas,20,20,0.6,0.57,4-3,Grass,Rainy,Carlos Alcaraz
2022-07-03,Frances Tiafoe,Alexander Zverev,15,16,0.51,0.66,1-2,Grass,Windy,Alexander Zverev
2022-07-15,Daniil Medvedev,Frances Tiafoe,19,13,0.5,0.63,0-4,Grass,Rainy,Frances Tiafoe
2022-07-13,Jannik Sinner,Carlos Alcaraz,3,9,0.98,0.65,1-3,Grass,Cloudy,Jannik Sinner
2022-07-04,Casper Ruud,Stefanos Tsitsipas,12,4,0.74,0.64,0-0,Grass,Rainy,Stefanos Tsitsipas
2022-07-04,Stefanos Tsitsipas,Alexander Zverev,4,5,0.71,0.88,0-1,Grass,Windy,Alexander Zverev
2022-07-01,Andrey Rublev,Hubert Hurkacz,17,14,0.52,0.79,0-0,Grass,Sunny,Hubert Hurkacz
2022-06-29,Andrey Rublev,Carlos Alcaraz,20,20,0.62,0.49,2-3,Grass,Sunny,Carlos Alcaraz
2022-07-11,Casper Ruud,Hubert Hurkacz,3,18,0.78,0.67,1-4,Grass,Cloudy,Hubert Hurkacz
2022-06-24,Casper Ruud,Daniil Medvedev,5,9,0.76,0.5,2-2,Grass,Windy,Casper Ruud
2022-07-15,Carlos Alcaraz,Daniil Medvedev,14,9,0.54,0.64,3-2,Grass,Windy,Carlos Alcaraz
2022-07-09,Carlos Alcaraz,Stefanos Tsitsipas,9,8,0.65,0.73,5-5,Grass,Windy,Stefanos Tsitsipas
2022-07-20,Taylor Fritz,Jannik Sinner,15,4,0.62,0.58,1-2,Grass,Sunny,Jannik Sinner
2022-07-03,Casper Ruud,Stefanos Tsitsipas,20,13,0.59,0.68,2-3,Grass,Rainy,Stefanos Tsitsipas
2022-07-05,Frances Tiafoe,Taylor Fritz,5,10,0.76,0.76,2-4,Grass,Cloudy,Taylor Fritz
2022-07-20,Stefanos Tsitsipas,Daniil Medvedev,13,11,0.7,0.69,2-5,Grass,Windy,Daniil Medvedev
2022-06-23,Taylor Fritz,Jannik Sinner,11,13,0.63,0.45,2-3,Grass,Rainy,Taylor Fritz
2022-07-20,Taylor Fritz,Jannik Sinner,19,18,0.6,0.59,1-5,Grass,Sunny,Jannik Sinner
2022-07-16,Hubert Hurkacz,Holger Rune,7,15,0.71,0.47,2-5,Grass,Sunny,Holger Rune
2022-06-28,Casper Ruud,Frances Tiafoe,16,5,0.48,0.81,5-2,Grass,Cloudy,Casper Ruud
2022-07-08,Frances Tiafoe,Daniil Medvedev,14,13,0.61,0.69,0-3,Grass,Windy,Daniil Medvedev
2022-07-12,Casper Ruud,Andrey Rublev,17,14,0.58,0.61,4-0,Grass,Rainy,Casper Ruud
2022-06-25,Andrey Rublev,Taylor Fritz,3,4,0.81,0.66,1-5,Grass,Rainy,Taylor Fritz
2022-07-20,Frances Tiafoe,Taylor Fritz,2,19,0.74,0.51,5-5,Grass,Windy,Frances Tiafoe
2022-07-06,Stefanos Tsitsipas,Casper Ruud,4,1,0.67,0.71,0-2,Grass,Cloudy,Casper Ruud
2022-07-04,Hubert Hurkacz,Andrey Rublev,18,19,0.59,0.51,5-4,Grass,Cloudy,Hubert Hurkacz
2022-07-01,Stefanos Tsitsipas,Casper Ruud,15,19,0.73,0.47,5-4,Grass,Cloudy,Stefanos Tsitsipas
2022-07-16,Novak Djokovic,Holger Rune,4,10,0.69,0.61,3-0,Grass,Sunny,Novak Djokovic
2022-07-06,Hubert Hurkacz,Daniil Medvedev,12,10,0.77,0.67,2-3,Grass,Cloudy,Daniil Medvedev
2022-06-30,Holger Rune,Stefanos Tsitsipas,16,4,0.69,0.56,3-5,Grass,Windy,Stefanos Tsitsipas
2022-07-11,Carlos Alcaraz,Alexander Zverev,2,4,0.76,0.8,0-2,Grass,Sunny,Alexander Zverev
2022-07-07,Daniil Medvedev,Jannik Sinner,17,6,0.59,0.8,4-1,Grass,Rainy,Daniil Medvedev
2022-07-10,Casper Ruud,Holger Rune,8,13,0.62,0.76,5-1,Grass,Cloudy,Casper Ruud
2022-07-04,Frances Tiafoe,Casper Ruud,13,1,0.85,0.7,5-4,Grass,Cloudy,Casper Ruud
2022-06-28,Taylor Fritz,Casper Ruud,13,1,0.58,0.89,5-1,Grass,Cloudy,Casper Ruud
2022-06-30,Hubert Hurkacz,Carlos Alcaraz,19,4,0.72,0.66,4-1,Grass,Rainy,Hubert Hurkacz
2022-07-09,Jannik Sinner,Holger Rune,4,9,0.67,0.63,5-3,Grass,Rainy,Jannik Sinner
2022-07-17,Casper Ruud,Taylor Fritz,13,19,0.49,0.47,0-2,Grass,Rainy,Taylor Fritz
2022-07-11,Holger Rune,Taylor Fritz,6,10,0.59,0.57,4-4,Grass,Sunny,Holger Rune
2022-07-01,Daniil Medvedev,Stefanos Tsitsipas,4,8,0.71,0.69,2-0,Grass,Cloudy,Daniil Medvedev
2022-07-08,Hubert Hurkacz,Daniil Medvedev,17,13,0.74,0.52,3-4,Grass,Cloudy,Hubert Hurkacz
2022-07-07,Casper Ruud,Hubert Hurkacz,6,16,0.79,0.57,5-4,Grass,Cloudy,Casper Ruud
2022-07-09,Daniil Medvedev,Holger Rune,10,5,0.65,0.77,1-2,Grass,Windy,Holger Rune
2022-07-20,Novak Djokovic,Stefanos Tsitsipas,1,16,0.63,0.63,1-1,Grass,Windy,Novak Djokovic
2022-07-12,Andrey Rublev,Hubert Hurkacz,16,14,0.61,0.66,5-3,Grass,Windy,Andrey Rublev
2022-06-29,Holger Rune,Hubert Hurkacz,6,3,0.72,0.97,4-0,Grass,Cloudy,Holger Rune
2022-07-08,Novak Djokovic,Alexander Zverev,8,18,0.61,0.52,2-1,Grass,Windy,Novak Djokovic
2022-06-28,Hubert Hurkacz,Holger Rune,18,17,0.51,0.52,0-4,Grass,Sunny,Holger Rune
2022-07-03,Andrey Rublev,Stefanos Tsitsipas,18,2,0.51,0.85,5-3,Grass,Cloudy,Stefanos Tsitsipas
2022-07-01,Carlos Alcaraz,Frances Tiafoe,8,10,0.81,0.59,0-3,Grass,Rainy,Frances Tiafoe
2022-07-17,Carlos Alcaraz,Holger Rune,4,8,0.63,0.72,1-5,Grass,Rainy,Holger Rune
2022-07-16,Hubert Hurkacz,Taylor Fritz,14,6,0.55,0.75,4-1,Grass,Cloudy,Hubert Hurkacz
2022-06-30,Jannik Sinner,Novak Djokovic,19,12,0.58,0.48,4-2,Grass,Cloudy,Jannik Sinner
2022-06-24,Hubert Hurkacz,Alexander Zverev,10,19,0.8,0.74,2-4,Grass,Sunny,Alexander Zverev
2022-06-24,Casper Ruud,Novak Djokovic,9,5,0.6,0.66,5-1,Grass,Cloudy,Casper Ruud
2022-07-10,Hubert Hurkacz,Stefanos Tsitsipas,8,13,0.7,0.65,3-1,Grass,Rainy,Hubert Hurkacz
2022-07-06,Casper Ruud,Hubert Hurkacz,15,3,0.67,0.92,5-0,Grass,Windy,Casper Ruud
2022-07-17,Hubert Hurkacz,Alexander Zverev,12,15,0.61,0.52,3-2,Grass,Sunny,Hubert Hurkacz
2022-06-26,Hubert Hurkacz,Carlos Alcaraz,15,12,0.46,0.56,0-4,Grass,Windy,Carlos Alcaraz
2022-07-07,Casper Ruud,Jannik Sinner,16,9,0.59,0.84,2-2,Grass,Rainy,Jannik Sinner
2022-06-21,Taylor Fritz,Daniil Medvedev,19,16,0.51,0.61,2-5,Grass,Sunny,Daniil Medvedev
2022-07-04,Carlos Alcaraz,Frances Tiafoe,15,1,0.6,0.86,0-1,Grass,Windy,Frances Tiafoe
2022-07-17,Novak Djokovic,Casper Ruud,7,5,0.93,0.65,5-2,Grass,Cloudy,Novak Djokovic
2022-06-21,Alexander Zverev,Carlos Alcaraz,12,9,0.58,0.76,0-2,Grass,Cloudy,Carlos Alcaraz
2022-07-12,Casper Ruud,Frances Tiafoe,10,8,0.72,0.85,3-5,Grass,Sunny,Frances Tiafoe
2022-07-06,Carlos Alcaraz,Novak Djokovic,7,16,0.74,0.55,0-1,Grass,Cloudy,Carlos Alcaraz
2022-07-17,Frances Tiafoe,Holger Rune,1,1,0.8,0.85,5-2,Grass,Sunny,Frances Tiafoe
2022-07-13,Casper Ruud,Daniil Medvedev,16,3,0.67,0.77,1-3,Grass,Sunny,Daniil Medvedev
2022-07-14,Carlos Alcaraz,Hubert Hurkacz,11,12,0.75,0.75,2-1,Grass,Windy,Carlos Alcaraz
2022-07-09,Daniil Medvedev,Frances Tiafoe,5,3,0.84,0.78,4-4,Grass,Sunny,Frances Tiafoe
2022-07-19,Frances Tiafoe,Daniil Medvedev,15,12,0.58,0.64,5-1,Grass,Cloudy,Frances Tiafoe
2022-07-14,Casper Ruud,Taylor Fritz,15,7,0.72,0.6,0-0,Grass,Cloudy,Casper Ruud
2022-06-27,Carlos Alcaraz,Taylor Fritz,13,12,0.66,0.59,3-2,Grass,Cloudy,Carlos Alcaraz
2022-07-14,Alexander Zverev,Frances Tiafoe,3,8,0.72,0.8,4-4,Grass,Rainy,Alexander Zverev
2022-07-13,Hubert Hurkacz,Novak Djokovic,10,7,0.67,0.68,4-4,Grass,Cloudy,Novak Djokovic
2022-06-27,Casper Ruud,Alexander Zverev,2,8,0.59,0.74,3-3,Grass,Sunny,Casper Ruud
